"118","Virgin Islands","VI","Saint Croix","Christiansted","00823","US","US","-64.703900","17.748800","1"
"119","Virgin Islands","VI","Saint Croix","Christiansted","00824","US","US","-64.703900","17.748800","1"
"120","Virgin Islands","VI","Saint John","St John","00830","US","US","-64.740700","18.328200","1"
"121","Virgin Islands","VI","Saint John","St John","00831","US","US","-64.794300","18.333300","1"
"122","Virgin Islands","VI","Saint Croix","Frederiksted","00840","US","US","-64.882164","17.712409","1"
"123","Virgin Islands","VI","Saint Croix","Frederiksted","00841","US","US","-64.881800","17.714700","1"
"124","Virgin Islands","VI","Saint Croix","Kingshill","00850","US","US","-64.782950","17.723000","1"
"125","Virgin Islands","VI","Saint Croix","Kingshill","00851","US","US","-64.783600","17.725300","1"
"126","Puerto Rico","PR","San Juan","San Juan","00901","US","US","-66.104373","18.465400","1"
"127","Puerto Rico","PR","San Juan","San Juan","00902","US","US","-66.106100","18.468300","1"
"128","Puerto Rico","PR","San Juan","San Juan","00906","US","US","-66.100780","18.464620","1"
"129","Puerto Rico","PR","San Juan","San Juan","00907","US","US","-66.084976","18.451852","1"
"130","Puerto Rico","PR","San Juan","San Juan","00908","US","US","-66.106100","18.468300","1"
"131","Puerto Rico","PR","San Juan","San Juan","00909","US","US","-66.066068","18.441112","1"
"132","Puerto Rico","PR","San Juan","San Juan","00910","US","US","-66.070000","18.450000","1"
"133","Puerto Rico","PR","San Juan","San Juan","00911","US","US","-66.057889","18.451408","1"
"134","Puerto Rico","PR","San Juan","San Juan","00912","US","US","-66.061116","18.445384","1"
"135","Puerto Rico","PR","San Juan","San Juan","00913","US","US","-66.044399","18.450365","1"
"136","Puerto Rico","PR","San Juan","San Juan","00914","US","US","-66.106100","18.468300","1"
"137","Puerto Rico","PR","San Juan","San Juan","00915","US","US","-66.044602","18.437208","1"
"138","Puerto Rico","PR","San Juan","San Juan","00916","US","US","-66.106100","18.468300","1"
"139","Puerto Rico","PR","San Juan","San Juan","00917","US","US","-66.049352","18.421194","1"
"140","Puerto Rico","PR","San Juan","San Juan","00918","US","US","-66.067402","18.423656","1"
"141","Puerto Rico","PR","San Juan","San Juan","00919","US","US","-66.106100","18.468300","1"
"142","Puerto Rico","PR","San Juan","San Juan","00920","US","US","-66.089552","18.416061","1"
"143","Puerto Rico","PR","San Juan","San Juan","00921","US","US","-66.088420","18.390532","1"
"144","Puerto Rico","PR","San Juan","San Juan","00922","US","US","-66.106100","18.468300","1"
"145","Puerto Rico","PR","San Juan","San Juan","00923","US","US","-66.033958","18.411380","1"
"146","Puerto Rico","PR","San Juan","San Juan","00924","US","US","-66.004960","18.400569","1"
"147","Puerto Rico","PR","San Juan","San Juan","00925","US","US","-66.047812","18.403282","1"
"148","Puerto Rico","PR","San Juan","San Juan","00926","US","US","-66.062461","18.346460","1"
